date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,225,225,0
17/1/2021,225,225,0
18/1/2021,442,442,0
19/1/2021,644,644,0
20/1/2021,644,644,0
21/1/2021,1032,1032,0
22/1/2021,1466,1466,0
23/1/2021,1998,1998,0
24/1/2021,2019,2019,0
25/1/2021,2369,2369,0
26/1/2021,2369,2369,0
27/1/2021,2385,2385,0
28/1/2021,2656,2656,0
29/1/2021,2727,2727,0
30/1/2021,2727,2727,0
31/1/2021,2727,2727,0
1/2/2021,2727,2727,0
2/2/2021,2727,2727,0
3/2/2021,2772,2772,0
4/2/2021,2938,2938,0
5/2/2021,3161,3161,0
6/2/2021,3161,3161,0
7/2/2021,3397,3397,0
8/2/2021,3397,3397,0
9/2/2021,3413,3413,0
10/2/2021,3413,3413,0
11/2/2021,3454,3454,0
12/2/2021,3454,3454,0
13/2/2021,3646,3646,0
14/2/2021,3646,3646,0
15/2/2021,4029,3847,182
16/2/2021,4029,3847,182
17/2/2021,4227,4045,182
18/2/2021,4842,4347,495
19/2/2021,5348,4453,895
20/2/2021,6152,4846,1306
21/2/2021,6152,4846,1306
22/2/2021,7312,5442,1870
23/2/2021,7583,5565,2018
24/2/2021,7762,5644,2118
25/2/2021,8419,6034,2385
26/2/2021,8556,6134,2422
27/2/2021,8556,6134,2422
28/2/2021,8556,6134,2422
1/3/2021,9137,6581,2556
2/3/2021,9501,6912,2589
3/3/2021,9501,6912,2589
4/3/2021,9501,6912,2589
5/3/2021,11119,8392,2727
6/3/2021,11842,8977,2865
7/3/2021,12052,9187,2865
8/3/2021,12888,9890,2998
9/3/2021,13470,10433,3037
10/3/2021,13797,10749,3048
11/3/2021,14288,11228,3060
12/3/2021,14874,11729,3145
13/3/2021,15203,11921,3282
14/3/2021,15203,11921,3282
15/3/2021,15846,12360,3486
16/3/2021,16194,12632,3562
