date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,3528,3528,0
17/1/2021,3528,3528,0
18/1/2021,5542,5542,0
19/1/2021,7585,7585,0
20/1/2021,7585,7585,0
21/1/2021,10676,10676,0
22/1/2021,13881,13881,0
23/1/2021,13881,13881,0
24/1/2021,13881,13881,0
25/1/2021,19837,19837,0
26/1/2021,19837,19837,0
27/1/2021,19945,19945,0
28/1/2021,28918,28918,0
29/1/2021,36932,36932,0
30/1/2021,38106,38106,0
31/1/2021,38106,38106,0
1/2/2021,39724,39724,0
2/2/2021,42435,42435,0
3/2/2021,43607,43607,0
4/2/2021,60556,60556,0
5/2/2021,77225,77225,0
6/2/2021,87269,87269,0
7/2/2021,88585,88585,0
8/2/2021,99889,99889,0
9/2/2021,108887,108887,0
10/2/2021,110977,110977,0
11/2/2021,117607,117607,0
12/2/2021,125038,125038,0
13/2/2021,129781,127566,2215
14/2/2021,129873,127658,2215
15/2/2021,132475,128613,3862
16/2/2021,135419,130058,5361
17/2/2021,137224,131651,5573
18/2/2021,146748,138795,7953
19/2/2021,157532,147368,10164
20/2/2021,164309,153259,11050
21/2/2021,165804,154754,11050
22/2/2021,179102,165110,13992
