date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,18122,18122,0
17/1/2021,18122,18122,0
18/1/2021,33389,33389,0
19/1/2021,47395,47395,0
20/1/2021,47433,47433,0
21/1/2021,63541,63541,0
22/1/2021,63620,63620,0
23/1/2021,76125,76125,0
24/1/2021,76125,76125,0
25/1/2021,88450,88450,0
26/1/2021,88450,88450,0
27/1/2021,89074,89074,0
28/1/2021,107174,107174,0
29/1/2021,110396,110396,0
30/1/2021,146015,146015,0
31/1/2021,148293,148293,0
1/2/2021,184215,184215,0
2/2/2021,222153,222153,0
3/2/2021,264097,264097,0
4/2/2021,312339,312339,0
5/2/2021,354360,354360,0
6/2/2021,374538,374538,0
7/2/2021,380229,380229,0
8/2/2021,397555,397555,0
9/2/2021,415989,415989,0
10/2/0201,430307,430307,0
11/2/2021,448903,448903,0
12/2/2021,471683,471683,0
13/2/2021,491233,491233,0
14/2/2021,492152,492152,0
15/2/2021,509026,495717,13309
16/2/2021,510485,496988,13497
17/2/2021,518095,502903,15192
18/2/2021,540107,506688,33419
19/2/2021,550433,515363,35070
20/2/2021,561343,522379,38964
21/2/2021,561857,522811,39046
22/2/2021,582950,526159,56791
23/2/2021,592457,532936,59521
24/2/2021,600795,540315,60480
25/2/2021,624386,548175,76211
26/2/2021,639370,560158,79212
27/2/2021,639370,560158,79212
28/2/2021,639370,560158,79212
1/3/2021,643349,562270,81079
2/3/2021,660596,569040,91556
3/3/2021,692382,583179,109203
4/3/2021,742349,601638,140711
5/3/2021,788907,623488,165419
6/3/2021,842232,650391,191841
7/3/2021,842232,650391,191841
8/3/2021,1044369,822286,222083
9/3/2021,1120131,875735,244396
10/3/2021,1179290,918099,261191
11/3/2021,1179290,918099,261191
12/3/2021,1314865,1031520,283345
13/3/2021,1400949,1098054,302895
14/3/2021,1400949,1098054,302895
15/3/2021,1491177,1168540,322637
16/3/2021,1564107,1227941,336166
17/3/2021,1634065,1286394,347671
18/3/2021,1725381,1362861,362520
19/3/2021,1805604,1432884,372720
20/3/2021,1917945,1531693,386252
21/3/2021,1917945,1531693,386252
22/3/2021,2013059,1620295,392764
23/3/2021,2137083,1734892,402191
24/3/2021,2245036,1835841,409195
25/3/2021,2381773,1965991,415782
26/3/2021,2519873,2096425,423448
27/3/2021,2634237,2206580,427657
28/3/2021,2634237,2206580,427657
29/3/2021,2634237,2206580,427657
30/3/2021,2711697,2281396,430301
31/3/2021,2834138,2398125,436013
1/4/2021,3045053,2599756,445297
2/4/2021,3121393,2690447,430946
3/4/2021,3232560,2795440,437120
4/4/2021,3374210,2931751,442459
5/4/2021,3581314,3128321,452993
6/4/2021,3885397,3413610,471787
7/4/2021,4026169,3541310,484859
8/4/2021,4167453,3665305,502148
