date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,5592,5592,0
17/1/2021,5592,5592,0
18/1/2021,10872,10872,0
19/1/2021,10872,10872,0
20/1/2021,16255,16255,0
21/1/2021,22171,22171,0
22/1/2021,22259,22259,0
23/1/2021,28732,28732,0
24/1/2021,28732,28732,0
25/1/2021,40025,40025,0
26/1/2021,40025,40025,0
27/1/2021,51647,51647,0
28/1/2021,62115,62115,0
29/1/2021,62529,62529,0
30/1/2021,72704,72704,0
31/1/2021,72704,72704,0
1/2/2021,76705,76705,0
2/2/2021,79676,79676,0
3/2/2021,101564,101564,0
4/2/2021,131173,131173,0
5/2/2021,150487,150487,0
6/2/2021,168881,168881,0
7/2/2021,168881,168881,0
8/2/2021,184733,184733,0
9/2/2021,198567,198567,0
10/2/2021,216784,216784,0
11/2/2021,233126,233126,0
12/2/2021,247745,247745,0
13/2/2021,262107,261274,833
14/2/2021,262987,262092,895
15/2/2021,287224,282031,5193
16/2/2021,302990,296308,6682
17/2/2021,318380,308551,9829
18/2/2021,336131,321706,14425
19/2/2021,346550,330446,16104
20/2/2021,361225,340557,20668
21/2/2021,361950,341251,20699
22/2/2021,378902,350716,28186
23/2/2021,389026,358080,30946
24/2/2021,405883,366493,39390
25/2/2021,421991,373644,48347
26/2/2021,429625,377834,51791
27/2/2021,429625,377834,51791
28/2/2021,429625,377834,51791
1/3/2021,443837,386030,57807
2/3/2021,460063,398574,61489
3/3/2021,490690,419066,71624
4/3/2021,535205,446330,88875
5/3/2021,580137,476352,103785
6/3/2021,632750,512080,120670
7/3/2021,634650,513728,120922
8/3/2021,683738,549916,133822
9/3/2021,724260,579308,144952
10/3/2021,774763,614651,160112
11/3/2021,779548,618339,161209
12/3/2021,828187,651528,176659
13/3/2021,885989,694275,191714
14/3/2021,892668,700293,192375
15/3/2021,973242,764514,208728
16/3/2021,1035067,813033,222034
17/3/2021,1114501,879589,234912
18/3/2021,1193874,946520,247354
19/3/2021,1264446,1005918,258528
20/3/2021,1340490,1072388,268102
21/3/2021,1341500,1073250,268250
22/3/2021,1407109,1129190,277919
23/3/2021,1445038,1159298,285740
24/3/2021,1488934,1197167,291767
25/3/2021,1548906,1251396,297510
26/3/2021,1615013,1313097,301916
27/3/2021,1729837,1423884,305953
