date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,265,265,0
17/1/2021,265,265,0
18/1/2021,265,265,0
19/1/2021,469,469,0
20/1/2021,469,469,0
21/1/2021,753,753,0
22/1/2021,1157,1157,0
23/1/2021,1502,1502,0
24/1/2021,1502,1502,0
25/1/2021,1928,1928,0
26/1/2021,1928,1928,0
27/1/2021,2355,2355,0
28/1/2021,2764,2764,0
29/1/2021,2977,2977,0
30/1/2021,3447,3447,0
31/1/2021,3447,3447,0
1/2/2021,3803,3803,0
2/2/2021,4019,4019,0
3/2/2021,4399,4399,0
4/2/2021,4782,4782,0
5/2/2021,5234,5234,0
6/2/2021,5645,5645,0
7/2/2021,5645,5645,0
8/2/2021,6027,6027,0
9/2/2021,6458,6458,0
10/2/2021,6903,6903,0
11/2/2021,7374,7374,0
12/2/2021,8017,8017,0
13/2/2021,8803,8660,143
14/2/2021,8803,8660,143
15/2/2021,9356,9212,144
16/2/2021,10008,9756,252
17/2/2021,10860,10583,277
18/2/2021,11804,11381,423
19/2/2021,12647,12100,547
20/2/2021,13748,12953,795
21/2/2021,13748,12953,795
22/2/2021,15287,14198,1089
23/2/2021,17003,15766,1237
24/2/2021,18562,17256,1306
25/2/2021,20462,18894,1568
