date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,43,43,0
17/1/2021,43,43,0
18/1/2021,43,43,0
19/1/2021,94,94,0
20/1/2021,94,94,0
21/1/2021,94,94,0
22/1/2021,94,94,0
23/1/2021,283,283,0
24/1/2021,283,283,0
25/1/2021,320,320,0
26/1/2021,320,320,0
27/1/2021,320,320,0
28/1/2021,286,286,0
29/1/2021,333,333,0
30/1/2021,391,391,0
31/1/2021,391,391,0
1/2/2021,441,441,0
2/2/2021,469,469,0
3/2/2021,561,561,0
4/2/2021,561,561,0
5/2/2021,674,674,0
6/2/2021,708,708,0
7/2/2021,708,708,0
8/2/2021,745,745,0
9/2/2021,843,843,0
10/2/2021,1030,1030,0
11/2/2021,1030,1030,0
12/2/2021,1095,1095,0
13/2/2021,1151,1121,30
14/2/2021,1151,1121,30
15/2/2021,1288,1258,30
16/2/2021,1402,1308,94
17/2/2021,1574,1480,94
18/2/2021,1734,1640,94
19/2/2021,1825,1672,153
20/2/2021,1948,1735,213
21/2/2021,1948,1735,213
22/2/2021,2021,1767,254
23/2/2021,2062,1808,254
24/2/2021,2112,1858,254
25/2/2021,2405,2151,254
26/2/2021,2658,2371,287
27/2/2021,2658,2371,287
28/2/2021,2658,2371,287
1/3/2021,2658,2371,287
2/3/2021,3043,2718,325
3/3/2021,3870,3386,484
4/3/2021,4357,3735,622
5/3/2021,4910,4156,754
6/3/2021,5474,4687,787
7/3/2021,5474,4687,787
8/3/2021,5894,5045,849
9/3/2021,6114,5256,858
10/3/2021,6698,5740,958
