date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,80,80,0
17/1/2021,80,80,0
18/1/2021,80,80,0
19/1/2021,125,125,0
20/1/2021,125,125,0
21/1/2021,184,184,0
22/1/2021,262,262,0
23/1/2021,345,345,0
24/1/2021,345,345,0
25/1/2021,345,345,0
26/1/2021,345,345,0
27/1/2021,345,345,0
28/1/2021,493,493,0
29/1/2021,607,607,0
30/1/2021,692,692,0
31/1/2021,692,692,0
1/2/2021,832,832,0
2/2/2021,867,867,0
3/2/2021,926,926,0
4/2/2021,1075,1075,0
5/2/2021,1214,1214,0
6/2/2021,1504,1504,0
7/2/2021,1504,1504,0
8/2/2021,1550,1550,0
9/2/2021,1697,1697,0
10/2/2021,2326,2326,0
11/2/2021,2698,2698,0
12/2/2021,2890,2890,0
13/2/2021,2963,2922,41
14/2/2021,2963,2922,41
