date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,10787,10787,0
17/1/2021,10787,10787,0
18/1/2021,10787,10787,0
19/1/2021,21832,21832,0
20/1/2021,21832,21832,0
21/1/2021,34865,34865,0
22/1/2021,46150,46150,0
23/1/2021,78466,78466,0
24/1/2021,78466,78466,0
25/1/2021,91927,91927,0
26/1/2021,91927,91927,0
27/1/2021,94524,94524,0
28/1/2021,162616,162616,0
29/1/2021,221675,221675,0
30/1/2021,246054,246054,0
31/1/2021,247891,247891,0
1/2/2021,256097,256097,0
2/2/2021,287852,287852,0
3/2/2021,311251,311251,0
4/2/2021,348183,348183,0
5/2/2021,394416,394416,0
6/2/2021,438573,438573,0
7/2/2021,451002,451002,0
8/2/2021,505960,505960,0
9/2/2021,572412,572412,0
10/2/0201,614530,614530,0
11/2/2021,645439,645439,0
12/2/2021,667073,667073,0
13/2/2021,680326,680326,0
14/2/2021,683903,683903,0
15/2/2021,699352,690074,9278
16/2/2021,711437,695628,15809
17/2/2021,717244,699443,17801
18/2/2021,839199,811152,28047
19/2/2021,856657,819060,37597
20/2/2021,882070,821940,60130
21/2/2021,883118,822193,60925
22/2/2021,897666,824119,73547
23/2/2021,905054,826583,78471
24/2/2021,910683,830565,80118
25/2/2021,958094,832737,125357
26/2/2021,1001170,833722,167448
27/2/2021,1001170,833722,167448
28/2/2021,1001170,833722,167448
1/3/2021,1070108,889167,180941
2/3/2021,1171503,979651,191852
3/3/2021,1229465,1028606,200859
4/3/2021,1421761,1156897,264864
5/3/2021,1605119,1295464,309655
6/3/2021,1764981,1420465,344516
7/3/2021,1765707,1421113,344594
8/3/2021,1953148,1589197,363951
9/3/2021,2117257,1709970,407287
10/3/2021,2162924,1734671,428253
11/3/2021,2173745,1744972,428773
12/3/2021,2347875,1871835,476040
13/3/2021,2485153,1981447,503706
14/3/2021,2496697,1992286,504411
15/3/2021,2656703,2129019,527684
16/3/2021,2812023,2259206,552817
17/3/2021,2853958,2293447,560511
18/3/2021,3051001,2475269,575732
19/3/2021,3271968,2682122,589846
20/3/2021,3514661,2916065,598596
21/3/2021,3721583,3120338,601245
22/3/2021,3950792,3341744,609048
23/3/2021,4186828,3572189,614639
24/3/2021,4381814,3759854,621960
25/3/2021,4638762,4012278,626484
26/3/2021,4908715,4277895,630820
27/3/2021,5158430,4524687,633743
28/3/2021,5250880,4616750,634130
29/3/2021,5262906,4628511,634395
30/3/2021,5482050,4828685,653365
31/3/2021,5700174,5024412,675762
1/4/2021,6165176,5459159,706017
2/4/2021,6578274,5812421,765853
3/4/2021,6923008,6127830,795178
4/4/2021,7390435,6552816,837619
5/4/2021,7689507,6817703,871804
6/4/2021,8017741,7110160,907581
7/4/2021,8147689,7224754,922935
8/4/2021,8475305,7501404,973901
9/4/2021,8774240,7749340,1024900
10/4/2021,9056842,7983507,1073335
11/4/2021,9260284,8156563,1103721
12/4/2021,9498866,8343790,1155076
13/4/2021,9705299,8502799,1202500
14/4/2021,9867541,8623246,1244295
15/4/2021,10028842,8730225,1298617
16/4/2021,10165603,8814503,1351100
17/4/2021,10337448,8921816,1415632
18/4/2021,10451246,8992115,1459131
19/4/2021,10620832,9083441,1537391
20/4/2021,10807438,9181707,1625731
21/4/2021,10938424,9251289,1687135
22/4/2021,11099586,9329491,1770095
23/4/2021,11266494,9412482,1854012
24/4/2021,11436779,9496008,1940771
25/4/2021,11538363,9550111,1988252
26/4/2021,11721269,9634479,2086790
