date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,3096,3096,0
17/1/2021,3096,3096,0
18/1/2021,6059,6059,0
19/1/2021,8808,8808,0
20/1/2021,11641,11641,0
21/1/2021,11641,11641,0
22/1/2021,14806,14806,0
23/1/2021,14806,14806,0
24/1/2021,14806,14806,0
25/1/2021,18413,18413,0
26/1/2021,18413,18413,0
27/1/2021,24020,24020,0
28/1/2021,24315,24315,0
29/1/2021,33119,33119,0
30/1/2021,40726,40726,0
31/1/2021,40860,40860,0
1/2/2021,48057,48057,0
2/2/2021,55671,55671,0
3/2/2021,67970,67970,0
4/2/2021,75205,75205,0
5/2/2021,85580,85580,0
6/2/2021,95934,95934,0
7/2/2021,106577,106577,0
8/2/2021,124505,124505,0
9/2/2021,143401,143401,0
10/2/2021,160492,160492,0
11/2/2021,174080,174080,0
12/2/2021,188095,188095,0
13/2/2021,200881,199008,1873
