date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,13594,13594,0
17/1/2021,29504,29504,0
18/1/2021,66392,66392,0
19/1/2021,82975,82975,0
20/1/2021,121466,121466,0
21/1/2021,138807,138807,0
22/1/2021,184699,184699,0
23/1/2021,188971,188971,0
24/1/2021,191449,191449,0
25/1/2021,231172,231172,0
26/1/2021,231607,231607,0
27/1/2021,267811,267811,0
28/1/2021,286089,286089,0
29/1/2021,307891,307891,0
30/1/2021,315370,315370,0
31/1/2021,315370,315370,0
1/2/2021,316228,316228,0
2/2/2021,316368,316368,0
3/2/2021,316638,316638,0
4/2/2021,330112,330112,0
5/2/2021,360592,360592,0
6/2/2021,386186,386186,0
7/2/2021,388769,388769,0
8/2/2021,415403,415403,0
9/2/2021,441692,441692,0
10/2/2021,464485,464485,0
11/2/2021,477005,477005,0
12/2/2021,491552,491552,0
13/2/2021,496159,496159,0
14/2/2021,496234,496234,0
15/2/2021,512476,500491,11985
16/2/2021,534058,505157,28901
17/2/2021,565093,510696,54397
18/2/2021,582691,519158,63533
19/2/2021,629420,529968,99452
20/2/2021,654298,540868,113430
21/2/2021,655375,541332,114043
22/2/2021,693964,553888,140076
23/2/2021,727360,569416,157944
