date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,8062,8062,0
17/1/2021,8407,8407,0
18/1/2021,15477,15477,0
19/1/2021,24007,24007,0
20/1/2021,24269,24269,0
21/1/2021,35173,35173,0
22/1/2021,47293,47293,0
23/1/2021,53529,53529,0
24/1/2021,53529,53529,0
25/1/2021,71973,71973,0
26/1/2021,71973,71973,0
27/1/2021,82970,82970,0
28/1/2021,106583,106583,0
29/1/2021,135835,135835,0
30/1/2021,158687,158687,0
31/1/2021,165171,165171,0
1/2/2021,193925,193925,0
2/2/2021,224846,224846,0
3/2/2021,246043,246043,0
4/2/2021,270992,270992,0
5/2/2021,286132,286132,0
6/2/2021,291852,291852,0
7/2/2021,292342,292342,0
8/2/2021,307998,307998,0
9/2/2021,322016,322016,0
10/2/0201,326246,326246,0
11/2/2021,333560,333560,0
12/2/2021,345197,345197,0
13/2/2021,356322,356322,0
14/2/2021,358575,358529,46
15/2/2021,370937,367367,3570
16/2/2021,388256,375441,12815
17/2/2021,395187,379034,16153
18/2/2021,410849,386901,23948
19/2/2021,425053,392993,32060
20/2/2021,437893,399064,38829
21/2/2021,438113,399284,38829
22/2/2021,461929,405697,56232
23/2/2021,476808,414509,62299
24/2/2021,493269,422669,70600
25/2/2021,530474,441597,88877
26/2/2021,587311,482445,104866
27/2/2021,587311,482445,104866
28/2/2021,587311,482445,104866
1/3/2021,625123,511510,113613
2/3/2021,662713,541951,120762
3/3/2021,701514,573353,128161
4/3/2021,810847,662393,148454
5/3/2021,902858,736363,166495
6/3/2021,1003309,819410,183899
7/3/2021,1020994,835572,185422
8/3/2021,1129691,926083,203608
9/3/2021,1233572,1012344,221228
10/3/2021,1289216,1056499,232717
11/3/2021,1346252,1105629,240623
12/3/2021,1469270,1211414,257856
13/3/2021,1541348,1274773,266575
14/3/2021,1548683,1281316,267367
15/3/2021,1689366,1408459,280907
16/3/2021,1836215,1540945,295270
17/3/2021,1891431,1587659,303772
18/3/2021,2042372,1727014,315358
19/3/2021,2179337,1852920,326417
20/3/2021,2297176,1962681,334495
21/3/2021,2303253,1968582,334671
22/3/2021,2432273,2089462,342811
23/3/2021,2558544,2203867,354677
24/3/2021,2618851,2260396,358455
25/3/2021,2772545,2408804,363741
26/3/2021,2904945,2536834,368111
27/3/2021,3019646,2647764,371882
28/3/2021,3031610,2659617,371993
29/3/2021,3181620,2805410,376210
30/3/2021,3339861,2957153,382708
31/3/2021,3401918,3015107,386811
1/4/2021,3490134,3099836,390298
2/4/2021,3720447,3308955,411492
3/4/2021,3850005,3430171,419834
4/4/2021,3884224,3462664,421560
5/4/2021,4030982,3597752,433230
6/4/2021,4059464,3623797,435667
