date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,79,79,0
17/1/2021,79,79,0
18/1/2021,119,119,0
19/1/2021,119,119,0
20/1/2021,240,240,0
21/1/2021,240,240,0
22/1/2021,401,401,0
23/1/2021,558,558,0
24/1/2021,558,558,0
25/1/2021,670,670,0
26/1/2021,670,670,0
27/1/2021,818,818,0
28/1/2021,818,818,0
29/1/2021,989,989,0
30/1/2021,1128,1128,0
31/1/2021,1128,1128,0
1/2/2021,1234,1234,0
2/2/2021,1234,1234,0
3/2/2021,1511,1511,0
4/2/2021,1511,1511,0
5/2/2021,1745,1745,0
6/2/2021,1987,1987,0
7/2/2021,1987,1987,0
8/2/2021,2234,2234,0
9/2/2021,2309,2309,0
10/2/2021,2536,2536,0
11/2/2021,2761,2761,0
12/2/2021,2854,2854,0
13/2/2021,2981,2904,77
14/2/2021,2981,2904,77
