date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,21,21,0
17/1/2021,21,21,0
18/1/2021,201,201,0
19/1/2021,369,369,0
20/1/2021,369,369,0
21/1/2021,369,369,0
22/1/2021,552,552,0
23/1/2021,633,633,0
24/1/2021,633,633,0
25/1/2021,676,676,0
26/1/2021,676,676,0
27/1/2021,746,746,0
28/1/2021,746,746,0
29/1/2021,746,746,0
30/1/2021,807,807,0
31/1/2021,807,807,0
1/2/2021,807,807,0
2/2/2021,807,807,0
3/2/2021,807,807,0
4/2/2021,807,807,0
5/2/2021,831,831,0
6/2/2021,839,839,0
7/2/2021,839,839,0
8/2/2021,868,868,0
9/2/2021,920,920,0
10/2/2021,920,920,0
11/2/2021,920,920,0
12/2/2021,1776,1776,0
13/2/2021,1776,1776,0
14/2/2021,1776,1776,0
15/2/2021,1776,1776,0
16/2/2021,1924,1809,115
17/2/2021,1924,1809,115
18/2/2021,1924,1809,115
19/2/2021,1924,1809,115
20/2/2021,1924,1809,115
21/2/2021,1924,1809,115
22/2/2021,2924,2333,591
23/2/2021,2964,2343,621
24/2/2021,2983,2344,639
25/2/2021,3041,2353,688
26/2/2021,3078,2368,710
27/2/2021,3078,2368,710
28/2/2021,3078,2368,710
1/3/2021,3212,2410,802
2/3/2021,3216,2413,803
3/3/2021,3216,2413,803
4/3/2021,3216,2413,803
5/3/2021,3300,2482,818
6/3/2021,3470,2638,832
7/3/2021,3470,2638,832
8/3/2021,3638,2784,854
9/3/2021,3968,3066,902
10/3/2021,3968,3066,902
11/3/2021,3968,3066,902
12/3/2021,3968,3066,902
13/3/2021,5093,3501,1592
14/3/2021,5093,3501,1592
15/3/2021,5508,3746,1762
16/3/2021,5508,3746,1762
17/3/2021,5791,3940,1851
18/3/2021,6029,4052,1977
19/3/2021,6109,4106,2003
20/3/2021,6197,4183,2014
21/3/2021,6197,4183,2014
22/3/2021,6293,4264,2029
23/3/2021,6396,4346,2050
24/3/2021,6463,4411,2052
25/3/2021,6490,4431,2059
26/3/2021,6576,4510,2066
27/3/2021,6800,4724,2076
28/3/2021,6800,4724,2076
29/3/2021,6800,4724,2076
30/3/2021,6959,4829,2130
