date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,18338,18338,0
17/1/2021,18338,18338,0
18/1/2021,18582,18582,0
19/1/2021,33484,33484,0
20/1/2021,52055,52055,0
21/1/2021,52393,52393,0
22/1/2021,74960,74960,0
23/1/2021,99885,99885,0
24/1/2021,99885,99885,0
25/1/2021,136901,136901,0
26/1/2021,136901,136901,0
27/1/2021,179509,179509,0
28/1/2021,220587,220587,0
29/1/2021,261320,261320,0
30/1/2021,269064,269064,0
31/1/2021,269064,269064,0
1/2/2021,310825,310825,0
2/2/2021,318744,318744,0
3/2/2021,354633,354633,0
4/2/2021,389577,389577,0
5/2/2021,434943,434943,0
6/2/2021,473480,473480,0
7/2/2021,473480,473480,0
8/2/2021,512476,512476,0
9/2/2021,536436,536436,0
10/2/0201,573681,573681,0
11/2/2021,608573,608573,0
12/2/2021,649660,649660,0
13/2/2021,682609,682420,189
14/2/2021,682933,682744,189
15/2/2021,713133,708276,4857
16/2/2021,740831,731537,9294
17/2/2021,781800,764965,16835
18/2/2021,839566,814682,24884
19/2/2021,860386,831921,28465
20/2/2021,922728,875752,46976
21/2/2021,926466,878829,47637
22/2/2021,985955,916977,68978
23/2/2021,1029363,948539,80824
24/2/2021,1087111,981359,105752
25/2/2021,1142290,1010322,131968
26/2/2021,1202180,1041947,160233
27/2/2021,1202180,1041947,160233
28/2/2021,1202180,1041947,160233
1/3/2021,1237004,1063187,173817
2/3/2021,1285081,1100898,184183
3/3/2021,1368909,1168251,200658
4/3/2021,1471450,1254197,217253
5/3/2021,1597458,1359974,237484
6/3/2021,1744420,1482838,261582
7/3/2021,1746065,1484440,261625
8/3/2021,1940369,1654605,285764
9/3/2021,2089146,1783789,305357
10/3/2021,2317696,1981629,336067
11/3/2021,2398401,2053729,344672
12/3/2021,2653357,2275285,378072
13/3/2021,2783323,2385928,397395
14/3/2021,2832150,2427213,404937
15/3/2021,3097047,2658293,438754
16/3/2021,3329387,2862885,466502
17/3/2021,3603424,3105169,498255
18/3/2021,3804142,3280955,523187
19/3/2021,4060333,3501550,558783
20/3/2021,4265512,3670363,595149
21/3/2021,4278482,3682577,595905
22/3/2021,4554836,3924766,630070
23/3/2021,4743837,4093349,650488
24/3/2021,5014774,4342646,672128
25/3/2021,5228897,4541032,687865
26/3/2021,5494759,4786833,707926
27/3/2021,5726036,5004331,721705
28/3/2021,5746602,5023688,722914
29/3/2021,5782665,5057844,724821
30/3/2021,5993126,5255093,738033
31/3/2021,6209337,5454614,754723
1/4/2021,6519976,5749202,770774
2/4/2021,7027500,6247362,780138
3/4/2021,7354244,6559094,795150
4/4/2021,7686921,6879975,806946
5/4/2021,8127248,7298206,829042
6/4/2021,8559317,7708299,851018
7/4/2021,8949560,8075190,874370
8/4/2021,9338531,8435010,903521
9/4/2021,9632724,8702534,930190
,,930190,
