date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,509,509,0
17/1/2021,509,509,0
18/1/2021,530,530,0
19/1/2021,1037,1037,0
20/1/2021,1365,1365,0
21/1/2021,1785,1785,0
22/1/2021,2078,2078,0
23/1/2021,2236,2236,0
24/1/2021,2236,2236,0
25/1/2021,2748,2748,0
26/1/2021,2748,2748,0
27/1/2021,3249,3249,0
28/1/2021,3870,3870,0
29/1/2021,4200,4200,0
30/1/2021,4324,4324,0
31/1/2021,4324,4324,0
1/2/2021,4564,4564,0
2/2/2021,4694,4694,0
3/2/2021,4806,4806,0
4/2/2021,5469,5469,0
5/2/2021,6213,6213,0
6/2/2021,6859,6859,0
7/2/2021,6859,6859,0
8/2/2021,7662,7662,0
9/2/2021,9069,9069,0
10/2/2021,9760,9760,0
11/2/2021,11642,11642,0
12/2/2021,12797,12797,0
13/2/2021,14089,13998,91
14/2/2021,14089,13998,91
15/2/2021,16223,16053,170
16/2/2021,18226,17889,337
17/2/2021,21691,21221,470
18/2/2021,22281,21674,607
19/2/2021,22901,22285,616
20/2/2021,24506,23877,629
21/2/2021,24506,23877,629
22/2/2021,26958,25998,960
23/2/2021,29390,28190,1200
24/2/2021,29448,28248,1200
25/2/2021,30210,28860,1350
26/2/2021,32191,30465,1726
27/2/2021,32191,30465,1726
28/2/2021,32191,30465,1726
1/3/2021,33122,31202,1920
2/3/2021,34581,32539,2042
3/3/2021,36212,33984,2228
4/3/2021,37921,35382,2539
5/3/2021,41924,38512,3412
6/3/2021,44883,40902,3981
