date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,9600,9600,0
17/1/2021,9600,9600,0
18/1/2021,18174,18174,0
19/1/2021,18174,18174,0
20/1/2021,27770,27770,0
21/1/2021,38278,38278,0
22/1/2021,38278,38278,0
23/1/2021,38278,38278,0
24/1/2021,38278,38278,0
25/1/2021,67083,67083,0
26/1/2021,67083,67083,0
27/1/2021,131679,131679,0
28/1/2021,195187,195187,0
29/1/2021,246181,246181,0
30/1/2021,298376,298376,0
31/1/2021,298376,298376,0
1/2/2021,298376,298376,0
2/2/2021,298376,298376,0
3/2/2021,330722,330722,0
4/2/2021,339386,339386,0
5/2/2021,340625,340625,0
6/2/2021,342016,342016,0
7/2/2021,342016,342016,0
8/2/2021,379251,379251,0
9/2/2021,380285,380285,0
10/2/2021,431702,431702,0
11/2/2021,487271,487271,0
12/2/2021,526095,526095,0
13/2/2021,557105,557105,0
14/2/2021,557105,557105,0
15/2/2021,575728,575728,0
