date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,314,314,0
17/1/2021,314,314,0
18/1/2021,554,554,0
19/1/2021,1091,1091,0
20/1/2021,1508,1508,0
21/1/2021,2537,2537,0
22/1/2021,3657,3657,0
23/1/2021,3979,3979,0
24/1/2021,3979,3979,0
25/1/2021,4852,4852,0
26/1/2021,4852,4852,0
27/1/2021,6142,6142,0
28/1/2021,6728,6728,0
29/1/2021,8497,8497,0
30/1/2021,9346,9346,0
31/1/2021,9346,9346,0
1/2/2021,9932,9932,0
2/2/2021,9932,9932,0
3/2/2021,9995,9995,0
4/2/2021,10044,10044,0
5/2/2021,10555,10555,0
6/2/2021,10937,10937,0
7/2/2021,10937,10937,0
8/2/2021,10937,10937,0
9/2/2021,11046,11046,0
10/2/2021,11046,11046,0
11/2/2021,11046,11046,0
12/2/2021,11332,11332,0
13/2/2021,11568,11494,74
14/2/2021,11754,11680,74
15/2/2021,12557,12330,227
16/2/2021,12557,12330,227
17/2/2021,13561,12976,585
18/2/2021,15115,13731,1384
