date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,561,561,0
17/1/2021,561,561,0
18/1/2021,1436,1436,0
19/1/2021,2360,2360,0
20/1/2021,2988,2988,0
21/1/2021,3187,3187,0
22/1/2021,3443,3443,0
23/1/2021,3443,3443,0
24/1/2021,3443,3443,0
25/1/2021,3675,3675,0
26/1/2021,3675,3675,0
27/1/2021,3973,3973,0
28/1/2021,3973,3973,0
29/1/2021,3973,3973,0
30/1/2021,3993,3993,0
31/1/2021,3993,3993,0
1/2/2021,3998,3998,0
2/2/2021,4093,4093,0
3/2/2021,4244,4244,0
4/2/2021,4405,4405,0
5/2/2021,4515,4515,0
6/2/2021,4535,4535,0
7/2/2021,4535,4535,0
8/2/2021,4973,4973,0
9/2/2021,5826,5826,0
10/2/2021,7167,7167,0
11/2/2021,8371,8371,0
12/2/2021,9125,9125,0
13/2/2021,9684,9684,0
14/2/2021,9818,9695,123
15/2/2021,11942,11601,341
16/2/2021,16234,15025,1209
17/2/2021,18252,16502,1750
18/2/2021,21059,18398,2661
