date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,13746,13746,0
17/1/2021,13746,13746,0
18/1/2021,46506,46506,0
19/1/2021,60797,60797,0
20/1/2021,68743,68743,0
21/1/2021,113623,113623,0
22/1/2021,130007,130007,0
23/1/2021,152371,152371,0
24/1/2021,152371,152371,0
25/1/2021,177090,177090,0
26/1/2021,177090,177090,0
27/1/2021,178227,178227,0
28/1/2021,194058,194058,0
29/1/2021,205200,205200,0
30/1/2021,206424,206424,0
31/1/2021,206424,206424,0
1/2/2021,207462,207462,0
2/2/2021,208205,208205,0
3/2/2021,211346,211346,0
4/2/2021,234923,234923,0
5/2/2021,235680,235680,0
6/2/2021,275055,275055,0
7/2/2021,276323,276323,0
8/2/2021,315725,315725,0
9/2/2021,342254,342254,0
10/2/0201,361623,361623,0
11/2/2021,383023,383023,0
12/2/2021,399670,399670,0
13/2/2021,411939,411939,0
14/2/2021,412046,412046,0
15/2/2021,426790,416756,10034
16/2/2021,428471,417881,10590
17/2/2021,439390,421142,18248
18/2/2021,482613,429212,53401
19/2/2021,501713,433584,68129
20/2/2021,533093,438127,94966
21/2/2021,533093,438127,94966
22/2/2021,566142,443401,122741
23/2/2021,577646,447176,130470
24/2/2021,584948,450361,134587
25/2/2021,612802,458368,154434
26/2/2021,618821,460554,158267
27/2/2021,618821,460554,158267
28/2/2021,618821,460554,158267
1/3/2021,640735,475608,165127
2/3/2021,668498,499346,169152
3/3/2021,696758,525494,171264
4/3/2021,754651,569475,185176
5/3/2021,778730,590213,188517
6/3/2021,822112,623512,198600
7/3/2021,822112,623512,198600
8/3/2021,907996,676209,231787
9/3/2021,971925,716886,255039
10/3/2021,1016936,744937,271999
11/3/2021,1020207,747398,272809
12/3/2021,1098111,798851,299260
13/3/2021,1162949,850414,312535
14/3/2021,1162949,850414,312535
15/3/2021,1284521,952086,332435
16/3/2021,1384942,1042071,342871
17/3/2021,1471316,1123080,348236
18/3/2021,1581336,1226047,355289
19/3/2021,1688682,1326275,362407
20/3/2021,1784847,1417557,367290
21/3/2021,1784847,1417557,367290
22/3/2021,1881914,1508320,373594
23/3/2021,1960727,1582282,378445
24/3/2021,2022037,1640229,381808
25/3/2021,2095217,1708888,386329
26/3/2021,2167956,1778321,389635
27/3/2021,2236623,1844679,391944
28/3/2021,2236623,1844679,391944
29/3/2021,2236623,1844679,391944
30/3/2021,2326922,1925880,401042
31/3/2021,2411021,1999347,411674
1/4/2021,2614183,2190790,423393
2/4/2021,2699452,2309764,389688
3/4/2021,2823310,2426177,397133
4/4/2021,3119381,2710936,408445
5/4/2021,3287050,2868211,418839
6/4/2021,3508480,3076261,432219
7/4/2021,3617561,3178508,439053
8/4/2021,3769153,3317085,452068
9/4/2021,3956246,3485921,470325
10/4/2021,4091351,3607557,483794
11/4/2021,4214184,3719357,494827
12/4/2021,4356095,3843843,512252
13/4/2021,4444241,3922145,522096
14/4/2021,4527911,3993009,534902
15/4/2021,4685831,4121043,564788
16/4/2021,4795020,4207944,587076
17/4/2021,4865265,4262088,603177
18/4/2021,4930367,4311575,618792
19/4/2021,5072765,4413360,659405
20/4/2021,5194381,4499013,695368
