date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,1327,1327,0
17/1/2021,1327,1327,0
18/1/2021,3318,3318,0
19/1/2021,5567,5567,0
20/1/2021,7607,7607,0
21/1/2021,12532,12532,0
22/1/2021,21340,21340,0
23/1/2021,30319,30319,0
24/1/2021,31327,31327,0
25/1/2021,39418,39418,0
26/1/2021,39418,39418,0
27/1/2021,44708,44708,0
28/1/2021,50977,50977,0
29/1/2021,54988,54988,0
30/1/2021,57499,57499,0
31/1/2021,57499,57499,0
1/2/2021,59285,59285,0
2/2/2021,61381,61381,0
3/2/2021,63663,63663,0
4/2/2021,67861,67861,0
5/2/2021,72855,72855,0
6/2/2021,76430,76430,0
7/2/2021,76430,76430,0
8/2/2021,82127,82127,0
9/2/2021,87181,87181,0
10/2/2021,91669,91669,0
11/2/2021,97668,97668,0
12/2/2021,101861,101861,0
13/2/2021,103858,103799,59
