date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,120,120,0
17/1/2021,120,120,0
18/1/2021,120,120,0
19/1/2021,358,358,0
20/1/2021,573,573,0
21/1/2021,773,773,0
22/1/2021,960,960,0
23/1/2021,960,960,0
24/1/2021,960,960,0
25/1/2021,1047,1047,0
26/1/2021,1047,1047,0
27/1/2021,1320,1320,0
28/1/2021,1776,1776,0
29/1/2021,2020,2020,0
30/1/2021,2020,2020,0
31/1/2021,2020,2020,0
1/2/2021,2166,2166,0
2/2/2021,2647,2647,0
3/2/2021,3425,3425,0
4/2/2021,4264,4264,0
5/2/2021,5139,5139,0
6/2/2021,5372,5372,0
7/2/2021,5372,5372,0
8/2/2021,6007,6007,0
9/2/2021,6961,6961,0
10/2/2021,7808,7808,0
11/2/2021,8316,8316,0
12/2/2021,8335,8335,0
13/2/2021,8335,8335,0
14/2/2021,8335,8335,0
15/2/2021,8543,8543,0
16/2/2021,9148,8991,157
17/2/2021,9760,9509,251
18/2/2021,10500,10143,357
19/2/2021,11800,11102,698
20/2/2021,12565,11865,700
21/2/2021,12565,11865,700
22/2/2021,14159,13384,775
23/2/2021,15694,14721,973
24/2/2021,16931,15875,1056
25/2/2021,17858,16630,1228
26/2/2021,18312,16951,1361
27/2/2021,18312,16951,1361
28/2/2021,18312,16951,1361
