date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,355,355,0
17/1/2021,355,355,0
18/1/2021,1736,1736,0
19/1/2021,3734,3734,0
20/1/2021,3734,3734,0
21/1/2021,9272,9272,0
22/1/2021,14252,14252,0
23/1/2021,14252,14252,0
24/1/2021,14252,14252,0
25/1/2021,19698,19698,0
26/1/2021,19698,19698,0
27/1/2021,19698,19698,0
28/1/2021,24302,24302,0
29/1/2021,27617,27617,0
30/1/2021,29796,29796,0
31/1/2021,29796,29796,0
1/2/2021,31190,31190,0
2/2/2021,32196,32196,0
3/2/2021,32340,32340,0
4/2/2021,35191,35191,0
5/2/2021,37359,37359,0
6/2/2021,40347,40347,0
7/2/2021,40405,40405,0
8/2/2021,45674,45674,0
9/2/2021,51449,51449,0
10/2/2021,52908,52908,0
11/2/2021,59438,59438,0
12/2/2021,65288,65288,0
13/2/2021,69562,69196,366
14/2/2021,69562,69196,366
15/2/2021,75305,73814,1491
