date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,3962,3962,0
17/1/2021,3962,3962,0
18/1/2021,17408,17408,0
19/1/2021,69405,69405,0
20/1/2021,69405,69405,0
21/1/2021,97087,97087,0
22/1/2021,110031,110031,0
23/1/2021,110031,110031,0
24/1/2021,110031,110031,0
25/1/2021,130390,130390,0
26/1/2021,130425,130425,0
27/1/2021,130425,130425,0
28/1/2021,151246,151246,0
29/1/2021,166606,166606,0
30/1/2021,168606,168606,0
31/1/2021,168606,168606,0
1/2/2021,168771,168771,0
2/2/2021,170043,170043,0
3/2/2021,176732,176732,0
4/2/2021,188279,188279,0
5/2/2021,193667,193667,0
6/2/2021,209104,209104,0
7/2/2021,209104,209104,0
8/2/2021,229027,229027,0
9/2/2021,243665,243665,0
10/2/2021,258122,258122,0
11/2/2021,270615,270615,0
12/2/2021,278250,278250,0
13/2/2021,282188,278915,3273
14/2/2021,282188,278915,3273
15/2/2021,293442,279237,14205
16/2/2021,332847,279497,53350
17/2/2021,333235,279534,53701
18/2/2021,353113,279832,73281
19/2/2021,366328,280277,86051
20/2/2021,368132,280973,87159
21/2/2021,368132,280973,87159
22/2/2021,387301,281365,105936
23/2/2021,387549,281382,106167
24/2/2021,389970,283387,106583
25/2/2021,398078,284058,114020
26/2/2021,419791,289772,130019
27/2/2021,419791,289772,130019
28/2/2021,419791,289772,130019
1/3/2021,424274,294255,130019
2/3/2021,435329,303387,131942
3/3/2021,450803,318861,131942
4/3/2021,472010,340068,131942
5/3/2021,486049,354107,131942
6/3/2021,510904,378962,131942
7/3/2021,510904,378962,131942
8/3/2021,556978,413824,143154
9/3/2021,594178,438673,155505
10/3/2021,623634,459769,163865
11/3/2021,623634,459769,163865
12/3/2021,623634,459769,163865
13/3/2021,647167,478458,168709
14/3/2021,675916,502323,173593
15/3/2021,715586,538053,177533
16/3/2021,742019,561948,180071
17/3/2021,779915,598871,181044
18/3/2021,832084,640285,191799
