date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,2276,2276,0
17/1/2021,2276,2276,0
18/1/2021,4237,4237,0
19/1/2021,6119,6119,0
20/1/2021,6119,6119,0
21/1/2021,8206,8206,0
22/1/2021,10514,10514,0
23/1/2021,10514,10514,0
24/1/2021,10514,10514,0
25/1/2021,14546,14546,0
26/1/2021,14546,14546,0
27/1/2021,14690,14690,0
28/1/2021,19517,19517,0
29/1/2021,25818,25818,0
30/1/2021,28791,28791,0
31/1/2021,31228,31228,0
1/2/2021,37505,37505,0
2/2/2021,43430,43430,0
3/2/2021,54153,54153,0
4/2/2021,62858,62858,0
5/2/2021,70292,70292,0
6/2/2021,73762,73762,0
7/2/2021,74607,74607,0
8/2/2021,79283,79283,0
9/2/2021,85359,85359,0
10/2/2021,90483,90483,0
11/2/2021,97618,97618,0
12/2/2021,104052,104052,0
13/2/2021,108974,108974,0
14/2/2021,110326,110326,0
15/2/2021,116702,115281,1421
16/2/2021,121726,119060,2666
