date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,22620,22620,0
17/1/2021,22620,22620,0
18/1/2021,22644,22644,0
19/1/2021,22644,22644,0
20/1/2021,22644,22644,0
21/1/2021,22644,22644,0
22/1/2021,123761,123761,0
23/1/2021,123761,123761,0
24/1/2021,123761,123761,0
25/1/2021,123761,123761,0
26/1/2021,123761,123761,0
27/1/2021,123761,123761,0
28/1/2021,294959,294959,0
29/1/2021,463793,463793,0
30/1/2021,463793,463793,0
31/1/2021,463793,463793,0
1/2/2021,463793,463793,0
2/2/2021,463793,463793,0
3/2/2021,463793,463793,0
4/2/2021,589101,589101,0
5/2/2021,673542,673542,0
6/2/2021,673542,673542,0
7/2/2021,673542,673542,0
8/2/2021,673542,673542,0
9/2/2021,673542,673542,0
10/2/2021,673542,673542,0
11/2/2021,763421,763421,0
12/2/2021,858602,858602,0
13/2/2021,858602,858602,0
