state,state_code,total_doses,total_vaccinated,total_fully_vaccinated,population,last_updated,ref
A & N Islands,AN,3646,3646,0,417036,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Andhra Pradesh,AP,362341,356521,5820,53903393,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Arunachal Pradesh,AR,16094,15633,461,1570458,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Assam,AS,129781,127566,2215,35607039,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Bihar,BR,491233,491233,0,124799926,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Chandigarh,CH,8803,8660,143,1158473,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Chhattisgarh,CG,262107,261274,833,29436231,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Dadra & Nagar Haveli,DN,2963,2922,41,453229,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Daman & Diu,DD,1151,1121,30,320756,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Delhi,DL,191207,189351,1856,18710922,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Goa,GA,13683,13166,517,1586250,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Gujarat,GJ,680326,680326,0,63872399,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Haryana,HR,196333,195745,588,28204692,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Himachal Pradesh,HP,81957,81482,475,7451955,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Jammu & Kashmir,JK,129629,128822,807,13606320,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Jharkhand,JH,200881,199008,1873,38593948,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Karnataka,KA,496159,496159,0,67562686,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Kerala,KL,356322,356322,0,35699443,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Ladakh,LA,2981,2904,77,289023,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Lakshadweep,LD,1776,1776,0,73183,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Madhya Pradesh,MP,557105,557105,0,85358965,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Maharashtra,MH,682609,682420,189,123144223,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Manipur,MN,22417,22362,55,3091545,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Meghalaya,ML,14089,13998,91,3366710,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Mizoram,MZ,11568,11494,74,1239244,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Nagaland,NL,9684,9684,0,2249695,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Odisha,OD,411939,411939,0,46356334,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Puducherry,PY,6024,5953,71,1413542,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Punjab,PB,103858,103799,59,30141373,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Rajasthan,RJ,609568,609568,0,81032689,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Sikkim,SK,8335,8335,0,690251,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Tamil Nadu,TN,247574,246420,1154,77841267,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Telangana,TS,282188,278915,3273,39362732,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Tripura,TR,69562,69196,366,4169794,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Uttar Pradesh,UP,858602,858602,0,237882725,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Uttarakhand,UK,108974,108974,0,11250858,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
West Bengal,WB,515117,512772,2345,99609303,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
Miscellaneous,MISC,115272,115057,215,,"0800, 14/2/2021",https://pib.gov.in/PressReleasePage.aspx?PRID=1697885
