state_code,date,total_doses,total_vaccinated,total_fully_vaccinated
AN,16/1/2021,225,225,0
AN,17/1/2021,225,225,0
AN,18/1/2021,442,442,0
AN,19/1/2021,644,644,0
AN,20/1/2021,644,644,0
AN,21/1/2021,1032,1032,0
AN,22/1/2021,1466,1466,0
AN,23/1/2021,1998,1998,0
AN,24/1/2021,2019,2019,0
AN,25/1/2021,2369,2369,0
AN,26/1/2021,2369,2369,0
AN,27/1/2021,2385,2385,0
AN,28/1/2021,2656,2656,0
AN,29/1/2021,2727,2727,0
AN,30/1/2021,2727,2727,0
AN,31/1/2021,2727,2727,0
AN,1/2/2021,2727,2727,0
AN,2/2/2021,2727,2727,0
AN,3/2/2021,2772,2772,0
AN,4/2/2021,2938,2938,0
AN,5/2/2021,3161,3161,0
AN,6/2/2021,3161,3161,0
AN,7/2/2021,3397,3397,0
AN,8/2/2021,3397,3397,0
AN,9/2/2021,3413,3413,0
AN,10/2/2021,3413,3413,0
AN,11/2/2021,3454,3454,0
AN,12/2/2021,3454,3454,0
AN,13/2/2021,3646,3646,0
AN,14/2/2021,3646,3646,0
AN,15/2/2021,4029,3847,182
AN,16/2/2021,4029,3847,182
AP,16/1/2021,19108,19108,0
AP,17/1/2021,36922,36922,0
AP,18/1/2021,46680,46680,0
AP,19/1/2021,65597,65597,0
AP,20/1/2021,91778,91778,0
AP,21/1/2021,115365,115365,0
AP,22/1/2021,133298,133298,0
AP,23/1/2021,147030,147030,0
AP,24/1/2021,147030,147030,0
AP,25/1/2021,156120,156120,0
AP,26/1/2021,156129,156129,0
AP,27/1/2021,163727,163727,0
AP,28/1/2021,171683,171683,0
AP,29/1/2021,179038,179038,0
AP,30/1/2021,187252,187252,0
AP,31/1/2021,187252,187252,0
AP,1/2/2021,187252,187252,0
AP,2/2/2021,187252,187252,0
AP,3/2/2021,215171,215171,0
AP,4/2/2021,243243,243243,0
AP,5/2/2021,272190,272190,0
AP,6/2/2021,299649,299649,0
AP,7/2/2021,299649,299649,0
AP,8/2/2021,314316,314316,0
AP,9/2/2021,325538,325538,0
AP,10/2/2021,335268,335268,0
AP,11/2/2021,343813,343813,0
AP,12/2/2021,351993,351993,0
AP,13/2/2021,362341,356521,5820
AP,14/2/2021,362341,356521,5820
AP,15/2/2021,376444,361814,14630
AP,16/2/2021,390665,366523,24142
AR,16/1/2021,829,829,0
AR,17/1/2021,1751,1751,0
AR,18/1/2021,2805,2805,0
AR,19/1/2021,2805,2805,0
AR,20/1/2021,3023,3023,0
AR,21/1/2021,4682,4682,0
AR,22/1/2021,5956,5956,0
AR,23/1/2021,6511,6511,0
AR,24/1/2021,6511,6511,0
AR,25/1/2021,7307,7307,0
AR,26/1/2021,7307,7307,0
AR,27/1/2021,7307,7307,0
AR,28/1/2021,8656,8656,0
AR,29/1/2021,9265,9265,0
AR,30/1/2021,9651,9651,0
AR,31/1/2021,9651,9651,0
AR,1/2/2021,9791,9791,0
AR,2/2/2021,9791,9791,0
AR,3/2/2021,9846,9846,0
AR,4/2/2021,10889,10889,0
AR,5/2/2021,11834,11834,0
AR,6/2/2021,12346,12346,0
AR,7/2/2021,12346,12346,0
AR,8/2/2021,13479,13479,0
AR,9/2/2021,13480,13480,0
AR,10/2/2021,13480,13480,0
AR,11/2/2021,14322,14322,0
AR,12/2/2021,15098,15098,0
AR,13/2/2021,16094,15633,461
AR,14/2/2021,16094,15633,461
AR,15/2/2021,18187,16613,1574
AR,16/2/2021,18187,16613,1574
AS,16/1/2021,3528,3528,0
AS,17/1/2021,3528,3528,0
AS,18/1/2021,5542,5542,0
AS,19/1/2021,7585,7585,0
AS,20/1/2021,7585,7585,0
AS,21/1/2021,10676,10676,0
AS,22/1/2021,13881,13881,0
AS,23/1/2021,13881,13881,0
AS,24/1/2021,13881,13881,0
AS,25/1/2021,19837,19837,0
AS,26/1/2021,19837,19837,0
AS,27/1/2021,19945,19945,0
AS,28/1/2021,28918,28918,0
AS,29/1/2021,36932,36932,0
AS,30/1/2021,38106,38106,0
AS,31/1/2021,38106,38106,0
AS,1/2/2021,39724,39724,0
AS,2/2/2021,42435,42435,0
AS,3/2/2021,43607,43607,0
AS,4/2/2021,60556,60556,0
AS,5/2/2021,77225,77225,0
AS,6/2/2021,87269,87269,0
AS,7/2/2021,88585,88585,0
AS,8/2/2021,99889,99889,0
AS,9/2/2021,108887,108887,0
AS,10/2/2021,110977,110977,0
AS,11/2/2021,117607,117607,0
AS,12/2/2021,125038,125038,0
AS,13/2/2021,129781,127566,2215
AS,14/2/2021,129873,127658,2215
AS,15/2/2021,132475,128613,3862
AS,16/2/2021,135419,130058,5361
BR,16/1/2021,18122,18122,0
BR,17/1/2021,18122,18122,0
BR,18/1/2021,33389,33389,0
BR,19/1/2021,47395,47395,0
BR,20/1/2021,47433,47433,0
BR,21/1/2021,63541,63541,0
BR,22/1/2021,63620,63620,0
BR,23/1/2021,76125,76125,0
BR,24/1/2021,76125,76125,0
BR,25/1/2021,88450,88450,0
BR,26/1/2021,88450,88450,0
BR,27/1/2021,89074,89074,0
BR,28/1/2021,107174,107174,0
BR,29/1/2021,110396,110396,0
BR,30/1/2021,146015,146015,0
BR,31/1/2021,148293,148293,0
BR,1/2/2021,184215,184215,0
BR,2/2/2021,222153,222153,0
